PuzzleId,FEN,Moves,Rating,Themes_backRankMate,Themes_capturingDefender,Themes_discoveredAttack,Themes_fork,Themes_pin,Themes_promotion,Themes_skewer,Themes_smotheredMate,Themes_trappedPiece,Themes_zugzwang
05meP,8/8/1p3r1p/pP3RkP/P1R5/6K1/8/8 b - - 0 51,g5f5 c4f4 f5e5 f4f6 e5f6 g3f4 f6e6 f4e4,1810,False,False,False,False,False,False,False,False,False,True
05xYX,1k6/pp5Q/2p4p/3qr3/8/6PP/PPP2N1K/8 b - - 2 28,d5d2 h7h8 b8c7 h8e5,925,False,False,False,True,False,False,False,False,False,False
06Jy4,r5k1/pbp3pp/1p1ppr2/5p1q/2PPn3/P1PBP2P/1BQ2nPN/5RRK w - - 0 18,f1f2 e4g3,1658,False,False,False,False,False,False,False,True,False,False
07Qqb,2kr3r/1p1nbpp1/pqn1p3/3pP1B1/3P3P/P2Q1N2/1P1NKP2/2R4R b - - 2 17,c8b8 c1c6 b6c6 g5e7,1614,False,True,False,False,False,False,False,False,False,False
07VLw,8/5p2/p5p1/1p1p1bP1/2k2P2/R2p4/1K6/8 b - - 3 53,f5c8 a3c3 c4d4 c3c8 d3d2 b2c2,1019,False,False,False,False,False,False,True,False,False,False
07pYZ,3rr2k/1q2Np1p/1n1Pn1p1/2p3B1/8/8/PP2Q1PP/R2R3K b - - 0 27,e6g5 e2e5 f7f6 e5f6,1468,False,False,False,True,False,False,False,False,False,False
08464,8/p6p/1pp5/2P1k3/1P2p1P1/4K3/P6P/8 b - - 0 33,b6b5 h2h4 e5d5 h4h5 d5e5 h5h6,2492,False,False,False,False,False,False,False,False,False,True
08O2w,r1b2knr/ppNp1ppp/2n1p3/2b5/q3P3/5Q2/PPPB1PPP/R3KB1R w KQ - 2 11,c7a8 c6d4 f3c3 d4c2 e1d1 c2a1,1684,False,False,False,True,False,False,False,False,False,False
09F87,2r3k1/p2r1pp1/1p6/4PpP1/3p3R/7R/PP5P/6K1 b - - 1 34,g8f8 h4h8 f8e7 h8c8,679,False,False,False,False,False,False,True,False,False,False
09Zli,6k1/3R1Np1/1b4bp/3B4/p7/1P4P1/P4PKP/3r4 w - - 1 30,f7e5 d1d5 d7d5 g6e4 f2f3 e4d5,1613,False,False,False,True,False,False,False,False,False,False
09m4A,8/8/6k1/5p1p/7P/5KP1/8/8 b - - 3 62,g6f6 f3f4 f6e6 f4g5 e6e5 g5h5 e5f6 h5h6 f5f4 g3f4,1459,False,False,False,False,False,False,False,False,False,True
09sy0,3r2rk/1p3p1p/2pb1p2/p4q2/2P4Q/1P2P1PP/5PB1/1R1R2K1 w - - 2 32,b1b2 d6g3 f2g3 d8d1,1244,False,False,True,False,False,False,False,False,False,False
09xgL,r4rk1/q5pp/p1pb1p2/2pp3b/N5P1/3P1N1P/PPP1Q1P1/1R2R1K1 b - - 0 19,h5g6 e2e6 g8h8 e6d6,1114,False,False,False,True,False,False,False,False,False,False
0BHoA,8/5k2/2pP4/1pP1Kppp/pP6/3bB1P1/1P6/8 b - - 1 40,h5h4 e3g5 f7e8 g3h4,2157,False,True,False,False,False,False,False,False,False,False
0BYn1,r2q1b1r/1b1p1kpp/p4n2/np2P3/2p2Q2/1B6/PPPP1PPP/RNB2RK1 b - - 2 11,d8c7 e5e6 d7e6 f4c7,1271,False,False,True,False,False,False,False,False,False,False
0Bnpn,6k1/1b3ppp/1q3n2/1p2p3/2p1P3/2Pr2P1/2QN1PBP/1R4K1 b - - 1 25,b7c6 d2c4 b6c5 c2d3,1207,False,True,False,False,False,False,False,False,False,False
0C82b,7r/2R4P/8/8/6P1/2p5/1k1p4/3K4 w - - 2 54,g4g5 h8h7 c7h7 c3c2 d1d2 c2c1q,1652,False,False,False,False,False,True,False,False,False,False
0CvdY,4r1k1/ppq2p2/5n2/6p1/P2P3R/6P1/1P4Q1/6RK b - - 1 28,g5h4 g3h4 g8f8 g2g7 f8e7 g1e1 f6e4 e1e4,1205,False,False,True,False,False,False,False,False,False,False
0CwEV,r5k1/1pQ2ppp/p3q3/8/1P1nR3/P6P/6P1/5RK1 b - - 0 27,e6e4 c7f7 g8h8 f7f8 a8f8 f1f8,1089,True,False,False,False,False,False,False,False,False,False
0DZ0V,6R1/8/5r1p/3p1k1P/2pK4/1p2P3/6P1/8 b - - 15 52,f6b6 g2g4 f5f6 g8g6 f6f7 g6b6,1643,False,False,False,False,False,False,True,False,False,False
0ENyl,b5k1/3r1ppp/1Q2p3/1P6/P2nPB2/4KP2/3p2PP/2rB4 b - - 8 35,c1d1 b6b8 d7d8 b8d8,751,True,False,False,False,False,False,False,False,False,False
0EPfW,8/2nr4/3k2p1/2Rp1p1p/1NpP3P/2P3P1/3K4/8 b - - 6 43,d7e7 c5c6 d6d7 c6c7 d7c7 b4d5 c7d6 d5e7,1797,False,False,False,True,False,False,False,False,False,False
0FRR6,5k2/1p4pp/p3p3/2P5/P7/BnPr2P1/6P1/6K1 b - - 3 27,d3c3 c5c6 b3c5 c6c7 f8f7 c7c8q,2163,False,False,False,False,False,True,False,False,False,False
0FgN7,1k2r3/2p5/pp3R2/3P1P2/2P3p1/P7/KP2p3/4R1rB w - - 3 40,f6e6 e8e6 e1g1 e2e1q d5e6 e1g1,1574,False,False,False,False,False,True,False,False,False,False
0GTXL,5rk1/p4p1p/8/5pp1/3P4/1PP1pPPq/P3Qn1P/R5K1 b - - 1 29,g5g4 e2e3 f5f4 e3f2,1703,False,False,False,False,False,False,False,False,True,False
0GxbV,r7/4R2p/1r5k/3Q2p1/3P4/2P5/5PPq/5K2 w - - 0 32,d5a8 h2h1 f1e2 b6b2 e2f3 h1h5 f3e4 h5e2 e4d5 e2e7,2410,False,False,False,False,False,False,True,False,False,False
0HLIg,8/8/4r2p/3k2pP/6P1/4R1K1/8/8 w - - 0 57,e3e6 d5e6 g3f3 e6d5 f3e3 d5e5,1906,False,False,False,False,False,False,False,False,False,True
0HWS5,8/5p2/6k1/3pP3/3P4/8/7K/8 w - - 1 56,h2g3 g6g5 g3f3 g5f5,2049,False,False,False,False,False,False,False,False,False,True
0He6Y,r2qr1k1/5p1p/2b3p1/p3b3/1pP2B2/1PnN3P/P2QBPP1/2R2RK1 w - - 0 20,d3e5 d8d2 f4d2 c3e2,1508,False,True,False,False,False,False,False,False,False,False
0Hxpz,rn1qk1nr/pbpp1ppp/1p1bp3/4N3/3P1B2/4P3/PPP2PPP/RN1QKB1R b KQkq - 4 5,f7f6 d1h5 g7g6 e5g6 h7g6 h5h8,1235,False,False,False,False,False,False,False,False,True,False
0HzZq,8/8/1p2B1Kp/p3p1p1/2Pb1pP1/1P3P2/k5P1/8 b - - 1 38,a2b3 c4c5 b3b2 c5c6,1492,False,False,True,False,False,False,False,False,False,False
0IOVD,1q3b1r/1brnkppp/3Qp3/B7/6PP/P4P2/1PP5/2KR1B1R b - - 0 20,e7d8 d6d7,1578,False,False,False,False,True,False,False,False,False,False
0IUxo,r3k2r/bpp2ppp/p2p1qn1/3Pp2n/1P2P3/P2P1NPP/2Q2PB1/R1B1K2R b KQkq - 2 14,e8g8 c1g5 f6g5 f3g5,1506,False,False,False,False,False,False,False,False,True,False
0IZrs,8/5p2/kp2p2p/3pP2P/PK1P1P2/8/8/8 w - - 1 73,b4c3 a6a5 c3b3 b6b5 a4b5 a5b5,1271,False,False,False,False,False,False,False,False,False,True
0IvgN,r2r2Qk/1p4bp/2b3pN/2P4q/1P2R3/P4pP1/5P1P/2R2BK1 b - - 7 29,d8g8 h6f7,643,False,False,False,False,False,False,False,True,False,False
0JWet,3r1b1Q/Pk2R3/6p1/2p2p2/1p6/3q4/1PnP1PPP/R1B3K1 b - - 0 24,f8e7 a7a8q d8a8 h8a8,1481,False,False,False,False,False,True,False,False,False,False
0JwZr,5q2/4p1P1/2pp4/5Nk1/1nnPP2R/r1P5/8/2K2R2 b - - 0 34,f8f5 g7g8q g5h4 f1h1 f5h3 h1h3,2442,False,False,False,False,False,True,False,False,False,False
0JxNx,8/6p1/2p1p2p/p1P1k3/P3P3/4K3/6PP/8 w - - 3 35,e3d3 h6h5 d3e3 h5h4 e3f3 e5d4 f3f4 g7g6,2906,False,False,False,False,False,False,False,False,False,True
0K3fp,r3k2r/4b2p/n1p1Q3/1p6/p4P2/P4N1n/1PPN2PP/R3R1qK w kq - 5 22,e1g1 h3f2,801,False,False,False,False,False,False,False,True,False,False
0Kfdk,r6r/pp3R2/6kN/8/6p1/2P3P1/PP3PP1/R6K w - - 1 29,f7b7 h8h6 h1g1 a8h8 f2f3 h6h1 g1f2 h1a1,1459,False,False,False,False,False,False,True,False,False,False
0Knhc,r1q2rk1/2pn1ppp/1nNbp3/pB6/4N3/8/1PPP1PPP/2BQ1RK1 b - - 7 15,d7e5 e4d6 c8d7 c6e5,1497,False,True,False,False,False,False,False,False,False,False
0LJNT,4r1k1/1pqn1pp1/p1p2n1p/3p1Q2/PP1P4/2P1PN1P/3N2P1/4R1K1 w - - 7 22,e3e4 g7g6 f5f6 d7f6,1857,False,False,False,False,False,False,False,False,True,False
0LQtz,r1bqk2r/1p2bp1p/p3p1p1/2ppP1BQ/7P/4P3/PPP2PP1/RN2K2R w KQkq - 0 11,h5h6 d8a5 b1d2 e7f8 g5f6 f8h6,1957,False,False,False,False,False,False,False,False,True,False
0LpSd,1nk2br1/1pp5/p2r1q1p/2BPp3/6b1/1B3N2/PP2QPP1/2R2RK1 w - - 2 21,c5d6 g4f3 c1c7 c8d8 e2f3 f6f3,1612,False,False,False,False,True,False,False,False,False,False
0M3nx,2Q3k1/4nppp/4p3/3q4/3P4/4PN2/5PPP/2R3K1 b - - 0 21,e7c8 c1c8 d5d8 c8d8,633,True,False,False,False,False,False,False,False,False,False
0MYV2,r5k1/p4ppp/3q4/2p1R3/2Q5/P1P1P3/6PP/5RK1 b - - 0 28,d6e5 c4f7 g8h8 f7f8 a8f8 f1f8,918,True,False,False,False,False,False,False,False,False,False
0MbEu,r1r3k1/p2q2b1/3Pp1pp/pP2Pp2/2B4P/P4b2/1B1Q1PnR/2R2K2 w - - 2 25,h2g2 c8c4 c1c4 d7b5,2015,False,True,False,False,False,False,False,False,False,False
0MkoI,8/1R6/p2p1rp1/k6p/4p3/5P2/2P3PP/7K w - - 0 43,f3e4 f6f1,902,True,False,False,False,False,False,False,False,False,False
0MuLd,1r1q1rk1/p2b2bp/2n2ppN/8/3p3B/1Q1B4/PP3PPP/2R2RK1 b - - 11 20,g8h8 b3g8 f8g8 h6f7,1381,False,False,False,False,False,False,False,True,False,False
0N68U,5rQk/1p2R1pp/p6N/5pP1/5P1q/8/P5K1/8 b - - 6 37,f8g8 h6f7,968,False,False,False,False,False,False,False,True,False,False
0NNlZ,2r4k/1p3ppP/p2b2q1/8/N3p3/1P2P2P/P3KR2/3QB3 w - - 2 29,a4b6 g6h5 e2f1 h5d1,1504,False,False,False,False,False,False,True,False,False,False
0Ne22,8/8/8/4k1p1/6Pp/5K1P/8/8 w - - 0 60,f3g2 e5e4 g2f2 e4f4,1883,False,False,False,False,False,False,False,False,False,True
0NsQd,r2r2k1/pb3ppp/1pn1p3/8/1q1PB2P/5N2/PP2QPP1/R4K1R b - - 2 16,f7f5 e4c6 b7c6 e2e6 g8h8 e6c6,1529,False,False,True,False,False,False,False,False,False,False
0OB7Z,rn3rQk/pp4pp/1q3n1N/2b5/8/4P3/PP3PPP/RNB1K2R b KQ - 6 15,f8g8 h6f7,712,False,False,False,False,False,False,False,True,False,False
0OSiM,r1q2rk1/ppn1ppbp/2p1b1p1/4N3/2BP4/P1P2Q2/1P3PPP/R1B1R1K1 w - - 7 16,c1d2 g7e5 e1e5 e6c4,1626,False,True,False,False,False,False,False,False,False,False
0OYHL,rn1r2k1/pp1N1p1p/2p1b1p1/8/2P5/1Pb3P1/P3PPBP/R1B2RK1 w - - 0 13,d7b8 c3a1 b8c6 b7c6,1503,False,False,False,False,False,False,False,False,True,False
0OcIC,1r2r1k1/5ppp/p1p1p3/P7/3PN3/R3P3/4qPPP/4R1K1 w - - 0 27,e1e2 b8b1 e2e1 b1e1,583,True,False,False,False,False,False,False,False,False,False
0Og4O,r2q1rk1/pp3pp1/7p/5n2/2PN4/P1B1P3/1P1Q2Pb/R3R1K1 w - - 0 20,g1h1 f5g3 h1h2 d8h4 h2g1 h4h1 g1f2 g3e4 f2f3 e4d2,1710,False,False,False,True,False,False,False,False,False,False
0Ospo,r1q3k1/2p2pp1/p5rp/1p1RP3/2p5/2P1RPP1/P1P4P/4Q2K w - - 0 24,f3f4 c8b7 e1d2 a8d8,1554,False,False,False,False,True,False,False,False,False,False
0OwuX,4r1k1/p1B2p2/2p5/6p1/4q1Pp/7N/PPP2P1P/R2Q2K1 w - - 1 23,d1e1 e4g4 c7g3 e8e1,1748,False,False,True,False,False,False,False,False,False,False
0PQNg,2r5/pp1k1ppp/4pn2/3p4/3P4/5B1P/PBr2PP1/1R3RK1 w - - 3 21,f1c1 c2b2 b1b2 c8c1,1416,False,True,False,False,False,False,False,False,False,False
0PvRs,r5nr/pq4b1/kn1QR2p/1p4p1/1P6/2P5/P4PPP/R1B3K1 b - - 2 27,g8f6 a2a4 b7d7 a4b5 a6b7 e6e7,2037,False,False,False,False,True,False,False,False,False,False
0RcKJ,8/8/p2r2p1/1p6/1P2kpK1/1P6/7P/4R3 b - - 5 46,e4d3 e1d1 d3c3 d1d6,858,False,False,False,False,False,False,True,False,False,False
0RcP9,r4rk1/pp1n1ppp/2n5/2q3B1/P1B3b1/5N2/1PQ2PPP/R3R1K1 w - - 6 16,a1d1 g4f3 d1d7 c5g5,1357,False,True,False,False,False,False,False,False,False,False
0Rsmk,2rqkb1r/p2nnp1b/1p2p1pp/1N1pP3/2PB4/1Q1B1N1P/PP3PP1/R4RK1 b k - 3 14,a7a6 b5d6,927,False,False,False,False,False,False,False,True,False,False
0SHxr,r1b1k2r/ppp1qpp1/2np1n1p/bQ1Bp3/4P3/B1PP1N2/P4PPP/RN2K2R b KQkq - 3 10,e7d7 d5c6 d7c6 b5a5 b7b6 a5b4,1412,False,False,False,False,True,False,False,False,False,False
0SSQT,r5k1/5p1p/p2Q4/1p3b2/8/N6n/PPP1B1PP/4R1qK w - - 7 29,e1g1 h3f2,909,False,False,False,False,False,False,False,True,False,False
0SSxS,2R3k1/pp3ppp/1q3rn1/5N2/8/1P6/1P3PPP/5RK1 b - - 0 24,g6f8 f5e7 g8h8 c8f8,930,True,False,False,False,False,False,False,False,False,False
0Sm3G,1r4k1/5ppp/2p1b3/p3r3/Pq1PP3/1n4PP/1P3QB1/1KNR1R2 w - - 0 27,c1a2 b4a4 a2c3 a4a1 b1c2 b3c1 d1c1 b8b2 c2d3 a1c1 d4e5 b2f2 f1c1 f2g2,2890,False,False,True,False,False,False,False,False,False,False
0Smei,8/7p/3QK1p1/1p4P1/1k6/6P1/8/q7 b - - 1 53,b4a4 d6a6 a4b4 a6a1,852,False,False,False,False,False,False,True,False,False,False
0TqTL,8/2k5/7r/5K2/R7/4P3/8/8 w - - 1 58,f5e4 h6h4 e4f5 h4a4,957,False,False,False,False,False,False,True,False,False,False
0Uc6Q,r2q1r2/1pp4k/p1bbpp2/3p2N1/3P4/2P1P1n1/PP3PPP/R2QK2R b KQ - 0 15,h7g7 g5e6 g7f7 e6d8,817,False,False,False,True,False,False,False,False,False,False
0Udmi,8/p7/1p1k3p/2p3p1/2P2pPP/1P3P2/P7/1K6 w - - 0 43,h4h5 d6e5 b1c2 e5d4 c2d2 a7a6 a2a3 b6b5 c4b5 a6b5,1999,False,False,False,False,False,False,False,False,False,True
0Uw7m,8/8/8/5p2/2K5/4pk2/8/6B1 w - - 0 59,c4d3 f5f4 g1h2 e3e2 d3d2 f3f2,1913,False,False,False,False,False,False,False,False,False,True
0VxpG,6k1/5ppp/p3p3/8/2R5/1P4P1/P4PKP/3r4 b - - 1 25,d1d2 c4c8 d2d8 c8d8,712,True,False,False,False,False,False,False,False,False,False
0W3fI,r3k2r/pb1nqp1p/1ppp2pB/4p2n/4P1NP/2P1Q3/P1P1BPP1/R4RK1 b kq - 1 15,e7h4 h6g5 h4g5 e3g5,1558,False,False,False,False,False,False,False,False,True,False
0WCTB,r4rQk/p1p3pn/nq5N/1p3p2/3P3B/8/P4PPP/R2R2K1 b - - 7 24,f8g8 h6f7,849,False,False,False,False,False,False,False,True,False,False
0WNs8,8/8/8/2p4R/2Bbkp1p/1P5P/5rP1/4K3 b - - 23 62,f2g2 c4d5 e4e3 d5g2,1163,False,False,False,False,False,False,True,False,False,False
0WRhe,r4rk1/pp5p/2p3p1/2Ppbb2/1P4q1/1QN1PRP1/PB5P/5RK1 b - - 2 19,f5d3 c3d5 f8f3 d5f6 g8f8 f6g4,2178,False,False,False,True,False,False,False,False,False,False
0WwnO,3rr1k1/pp3ppp/6b1/8/2PbP1P1/2NB3P/PP2K3/2R4R w - - 2 20,e2f3 d4c3 c1c3 d8d3 c3d3 g6e4,1571,False,False,True,False,False,False,False,False,False,False
0X3mr,3r2k1/p4ppp/4p1q1/1p6/3QNP2/1P5P/P5P1/2R3K1 b - - 0 28,d8d4 c1c8 d4d8 c8d8,579,True,False,False,False,False,False,False,False,False,False
0X5vo,8/1p3p2/p6k/2pp4/2Pr2R1/1P3P1P/P3K3/8 b - - 1 38,d5c4 g4d4 c5d4 b3c4,1657,False,True,False,False,False,False,False,False,False,False
0XPKc,3r3k/1p5p/p1pp2pP/4q3/2Q1Pr2/8/PPP5/1K3R1R b - - 5 29,e5e4 c4c3 e4e5 f1f4,2037,False,False,False,False,True,False,False,False,False,False
0Y7pG,5rk1/p1p5/2p4p/4PrpQ/8/2q5/P1P3PP/3RR2K w - - 0 25,h5h6 c3e1 d1e1 f5f1 e1f1 f8f1,1216,True,False,False,False,False,False,False,False,False,False
0YCcK,4r1k1/1ppn1ppp/1p1p4/r2Nq3/4P3/5P1P/PPPQ2P1/3R1RK1 w - - 5 19,d5c7 e5c5 f1f2 c5c7 d2d6 c7d6,1473,False,False,False,True,False,False,False,False,False,False
0YEBW,r3k2r/1b2bppp/p3p3/1pq2N2/6n1/2NQB3/PPP3PP/R4RK1 b kq - 4 17,g4e3 f5g7 e8f8 g7e6,2073,False,False,False,False,True,False,False,False,False,False
0ZSdf,6k1/pr1n1ppp/5N2/1p2b3/8/6P1/PPK4P/3R3R b - - 0 25,d7f6 d1d8 f6e8 d8e8,630,True,False,False,False,False,False,False,False,False,False
0Zgg8,r3rk2/1p4bp/1qp3p1/8/pPQ1p3/P1n1P2P/2P2PPB/4RRK1 b - - 3 23,b6b5 h2d6 e8e7 c4e6 b5g5 f2f3,2405,False,False,False,False,True,False,False,False,False,False
0ZtTB,r3kbnr/p3pppp/2p2q2/3p4/5B2/2N2Q2/PP3PPP/R3R1K1 b kq - 3 13,e7e6 c3d5 c6d5 f3d5,1624,False,False,False,False,True,False,False,False,False,False
0aUVw,r2qk2r/pbp2pp1/1pnbpn1p/1N1pN3/3P1BP1/7P/PPP1PPB1/R2QK2R b KQkq - 5 9,c6e5 d4e5 d6b4 c2c3,1590,False,False,False,True,False,False,False,False,False,False
0amZl,8/8/8/5ppp/7k/5K2/6PP/8 b - - 1 44,g5g4 f3f4 g4g3 h2g3,921,False,False,False,False,False,False,False,False,False,True
0b1dr,8/8/5kP1/1p1p4/1P1P1Kp1/8/8/8 b - - 1 41,g4g3 f4g3 f6g6 g3g4 g6f6 g4f4,1924,False,False,False,False,False,False,False,False,False,True
0bE0v,5rk1/pQ3N1p/3pp1p1/6p1/4P3/2P5/q5PP/4K2R w - - 4 25,h1f1 a2a1 e1d2 a1f1,1428,False,False,False,False,False,False,True,False,False,False
0bXUT,3r2k1/1p3p2/2p4p/1Pq3p1/3r4/7Q/5PPP/1RR3K1 w - - 0 26,b5c6 c5c1 b1c1 d4d1 c1d1 d8d1,1526,True,False,False,False,False,False,False,False,False,False
0balb,r3br1k/6pp/p7/1pp2N2/4P3/P2P4/1PPB1qPP/1R1Q3K b - - 0 22,e8c6 d2e3 f8f5 e3f2,2057,False,False,False,False,False,False,False,False,True,False
0bbUS,r2q1r2/1bp2pk1/p2P2pp/1p6/3Q4/1BPP2B1/P1P3PP/R4n1K b - - 0 20,d8f6 g3e5 f6e5 d4e5,1011,False,False,False,False,True,False,False,False,False,False
0bnZU,5krr/ppp2p2/8/2pPp1Pn/4PqR1/5P2/PPP1QK2/7R w - - 2 25,h1h5 h8h5 g4f4 h5h2 f2g3 h2e2,1371,False,False,False,False,False,False,True,False,False,False
0c5B1,7R/8/8/8/4k3/4p3/r7/4K3 b - - 13 88,a2a4 h8h4 e4d3 h4a4,966,False,False,False,False,False,False,True,False,False,False
0c76x,8/8/8/3k1p1K/5P2/8/8/8 b - - 0 66,d5d4 h5g6 d4e4 g6g5,1904,False,False,False,False,False,False,False,False,False,True
0cGsQ,3R4/pp2nrpk/2p1Q2p/6b1/2P5/P5B1/1q2NPPP/R5K1 w - - 3 25,e6f7 b2a1 e2c1 a1c1 d8d1 c1d1,968,True,False,False,False,False,False,False,False,False,False
0cUVg,8/8/PPk3p1/5r2/2N1K3/8/8/8 b - - 0 73,f5b5 a6a7 c6b7 c4d6 b7b6 a7a8q,2169,False,False,False,False,False,True,False,False,False,False
0cXmm,3r2k1/p2qbrp1/1p1nbpNB/2p1p2P/4N1P1/2PP4/P3PPB1/2Q1K2R b K - 0 23,g7h6 c1h6 f7h7 g6e7 d7e7 e4f6 g8h8 f6h7,1769,False,False,False,True,False,False,False,False,False,False
0d50W,r1b4Q/pp3B2/1k1p3p/6q1/1P6/8/P3nPPP/R4R1K w - - 1 20,f1e1 c8h3 g2h3 a8h8,1857,False,False,True,False,False,False,False,False,False,False
0dCmk,8/8/8/5kp1/r4p2/5Kb1/6R1/5R2 w - - 2 73,g2g3 a4a3 f3e2 a3g3,1123,False,False,False,False,False,False,True,False,False,False
0dTce,r5k1/p4p1p/1pq3p1/2pN1n2/2Pn4/2BP2P1/PP3P1P/R2Qr1K1 w - - 0 23,d1e1 d4f3 g1g2 f3e1,919,False,False,False,True,False,False,False,False,False,False
0dZe5,5r1k/2R5/p2P2pp/7n/1p6/1P1pr2P/6BK/3R4 b - - 0 42,e3e2 d6d7 e2c2 c7c2 d3c2 d7d8q f8d8 d1d8,2144,False,False,False,False,False,True,False,False,False,False
0dbTb,rn1r2Qk/pp2p1bp/6pN/q7/3pP3/2P1B3/P4PPP/2R2RK1 b - - 7 18,d8g8 h6f7,955,False,False,False,False,False,False,False,True,False,False
0eDBl,2rr2k1/1Q1R1ppp/p3p3/4q2n/8/2N5/PPP2PPP/1K5R b - - 0 18,d8d7 b7c8 d7d8 c8d8,764,True,False,False,False,False,False,False,False,False,False
0eWfI,2k2b1r/Qpq2ppp/5n2/4p1B1/1Pb1P3/2r2N1P/P4PP1/R2R2K1 b - - 1 22,f8b4 a7a8 c7b8 a8a4 b4d6 g5d2 f6e4 d2c3 e4c3 a4c4,2085,False,True,False,False,False,False,False,False,False,False
0fQQ3,k3r3/pp4p1/b3p3/2N4p/2Pp4/3Pb3/PR4PP/4R1K1 w - - 2 37,g1f1 e8f8 f1e2 f8f2 e2d1 f2b2,1197,False,False,False,False,False,False,True,False,False,False
0gQEK,5rk1/1bp2rp1/3p4/p1p2q2/P4n2/2N3QP/1PP1R1P1/2B1R1K1 w - - 0 32,e2f2 f4h3 g2h3 f5f2 g3f2 f7f2,1265,False,False,True,False,False,False,False,False,False,False
0h43H,8/5p2/p2kp3/1p5p/1P1PKPp1/P5P1/6P1/8 w - - 2 42,e4e3 d6d5 e3d3 f7f5 d3c3 d5e4 c3d2 e4d4,2089,False,False,False,False,False,False,False,False,False,True
0hE8L,r5k1/p1p2ppp/8/3R4/4P3/5BP1/q7/1rBQK3 b - - 4 26,a2h2 d5d8 a8d8 d1d8,1092,True,False,False,False,False,False,False,False,False,False
0hbcn,5k2/r5p1/8/3p4/8/1P6/5PPP/3R2K1 w - - 0 37,d1d5 a7a1 d5d1 a1d1,934,True,False,False,False,False,False,False,False,False,False
0hdmX,8/8/8/7B/6p1/5Nkp/4K3/8 w - - 0 53,f3e5 h3h2 e2e3 h2h1q,816,False,False,False,False,False,True,False,False,False,False
0hvrK,2r3k1/1pp5/3p1n1b/3Pp3/1PP5/2N1PN2/3B1rPP/1R5K w - - 4 25,h1g1 f2d2 f3d2 h6e3 g1f1 e3d2,1618,False,True,False,False,False,False,False,False,False,False
